imageUrl,keyTag,notes,timeSpent,multiTag
./assets/Image/01.jpg,2 stories residential building,,4,
./assets/Image/02.jpg,2 stories residential building,,3,
./assets/Image/03.jpg,2 stories residential building,,1,
./assets/Image/05.jpg,2 stories residential building,,3,
./assets/Image/04.jpg,2.5 stories residential building,,3,
./assets/Image/06.jpg,2.5 stories residential building,,2,
./assets/Image/07.jpg,2 stories residential building,,4,
./assets/Image/09.jpg,2.5 stories residential building,,7,
./assets/Image/08.jpg,2.5 stories residential building,,2,
./assets/Image/11.jpg,2 stories residential building,,3,
./assets/Image/12.jpg,2 stories residential building,,4,
./assets/Image/10.jpg,2 stories residential building,,,
./assets/Image/13.jpg,2 stories residential building,,2,
./assets/Image/14.jpg,1.5 stories residential building,,5,
./assets/Image/15.jpg,2 stories residential building,,3,
./assets/Image/17.jpg,Cannot tell,,5,
./assets/Image/18.jpg,Cannot tell,,9,
./assets/Image/16.jpg,Cannot tell,,15,
./assets/Image/20.jpg,2 stories residential building,,,20
./assets/Image/21.jpg,2 stories residential building,,,2
./assets/Image/19.jpg,2 stories residential building,,,2
./assets/Image/22.jpg,2 stories residential building,,,4
./assets/Image/23.jpg,2.5 stories residential building,,9,
./assets/Image/24.jpg,2.5 stories residential building,,,4
./assets/Image/25.jpg,2.5 stories residential building,,,4
./assets/Image/26.jpg,2 stories residential building,,,2
./assets/Image/28.jpg,Cannot tell,,5,
./assets/Image/27.jpg,2 stories residential building,,4,
./assets/Image/29.jpg,1.5 stories residential building,,7,
./assets/Image/31.jpg,2.5 stories residential building,,5,
./assets/Image/32.jpg,2 stories residential building,,2,
./assets/Image/30.jpg,Cannot tell,,2,
./assets/Image/33.jpg,2 stories residential building,,3,
./assets/Image/34.jpg,2 stories residential building,,2,
./assets/Image/35.jpg,2 stories residential building,,,
./assets/Image/36.jpg,2 stories residential building,,3,
./assets/Image/37.jpg,2 stories residential building,,2,
./assets/Image/39.jpg,2 stories residential building,,1,
./assets/Image/38.jpg,2 stories residential building,,1,
./assets/Image/40.jpg,Cannot tell,,2,
./assets/Image/41.jpg,Cannot tell,,1,
./assets/Image/42.jpg,Cannot tell,,2,
./assets/Image/44.jpg,2 stories residential building,,2,
./assets/Image/43.jpg,2 stories residential building,,1,
./assets/Image/45.jpg,2 stories residential building,,2,
./assets/Image/46.jpg,2 stories residential building,,,
./assets/Image/47.jpg,2 stories residential building,,1,
./assets/Image/48.jpg,Cannot tell,,2,
./assets/Image/50.jpg,2 stories residential building,,3,
./assets/Image/49.jpg,Cannot tell,,4,
./assets/Image/51.jpg,2 stories residential building,,1,
./assets/Image/53.jpg,2.5 stories residential building,,4,
./assets/Image/52.jpg,2 stories residential building,,1,
./assets/Image/54.jpg,2 stories residential building,,1,
./assets/Image/55.jpg,1 story residential building,,3,
./assets/Image/56.jpg,2 stories residential building,,2,
./assets/Image/60.jpg,2 stories residential building,,1,
./assets/Image/58.jpg,Cannot tell,,5,
./assets/Image/59.jpg,1.5 stories residential building,,4,
./assets/Image/57.jpg,1.5 stories residential building,,2,
./assets/Image/61.jpg,2 stories residential building,,2,
./assets/Image/62.jpg,2 stories residential building,,1,
./assets/Image/64.jpg,Cannot tell,,3,
./assets/Image/66.jpg,2 stories residential building,,1,
./assets/Image/65.jpg,2 stories residential building,,1,
./assets/Image/63.jpg,Cannot tell,,2,
./assets/Image/67.jpg,2 stories residential building,,1,
./assets/Image/69.jpg,2 stories residential building,,1,
./assets/Image/68.jpg,2 stories residential building,,,
./assets/Image/70.jpg,2 stories residential building,,2,
./assets/Image/71.jpg,Cannot tell,,1,
./assets/Image/72.jpg,2 stories residential building,,1,
./assets/Image/74.jpg,2 stories residential building,,2,
./assets/Image/75.jpg,2 stories residential building,,2,
./assets/Image/73.jpg,2 stories residential building,,1,
./assets/Image/76.jpg,1.5 stories residential building,,3,
./assets/Image/77.jpg,2 stories residential building,,2,
./assets/Image/78.jpg,2 stories residential building,,2,
./assets/Image/79.jpg,2 stories residential building,,1,
